QUE001862,OK-MG281
QUE001863,OK-MG282
QUE001866,OK-MG285
QUE001870,OK-MG289
QUE001871,OK-MG290
QUE001877,OK-MG346
QUE001878,OK-MG347
QUE001880,OK-MG349
QUE001882,OK-MG351
QUE001884,OK-MG353
QUE001885,OK-MG354
QUE001886,OK-MG355
QUE001893,OK-MG362
QUE001894,OK-MG363
QUE001898,OK-MG367
QUE001900,OK-MG369
QUE001902,OK-MG371
QUE001907,OK-MG376
QUE001634,SH-MG106
QUE001644,SH-MG116
QUE001647,SH-MG119
QUE001649,SH-MG121
QUE001650,SH-MG122
QUE001652,SH-MG124
QUE001653,SH-MG125
QUE001654,SH-MG126
QUE001655,SH-MG127
QUE001655,SH-MG127
QUE001661,SH-MG133
QUE001662,SH-MG157
QUE001665,SH-MG160
QUE001666,SH-MG161
QUE001671,SH-MG165
QUE001672,SH-MG166
QUE001673,SH-MG167
QUE001675,SH-MG169
QUE001676,SH-MG170
QUE001677,SH-MG171
QUE001678,SH-MG172
QUE001679,SH-MG173
QUE001680,SH-MG174
QUE001687,SH-MG181
QUE001688,SH-MG182
QUE001697,SH-MG191
QUE001700,SH-MG194
QUE001701,SH-MG195
QUE001709,SH-MG203
QUE001710,SH-MG204
QUE001711,SH-MG205
QUE001714,SH-MG208
QUE001716,SH-MG210
QUE001724,SH-MG218
QUE001758,WI-MG229
QUE001759,WI-MG230
QUE001764,WI-MG235
QUE001767,WI-MG293
QUE001529,IL-CS-NS11
QUE001532,IL-CS-NS14
QUE001533,IL-CS-NS15
QUE001534,IL-CS-NS16
QUE001536,IL-CS-NS18
QUE001486,IL-CS-NS4
QUE001488,IL-CS-NS6
QUE001489,IL-CS-NS7
QUE001342,IL-LAKESTOREY-NS10
QUE001344,IL-LAKESTOREY-NS12
QUE001345,IL-LAKESTOREY-NS13
QUE001346,IL-LAKESTOREY-NS14
QUE001348,IL-LAKESTOREY-NS16
QUE001349,IL-LAKESTOREY-NS17
QUE001350,IL-LAKESTOREY-NS18
QUE001334,IL-LAKESTOREY-NS2
QUE001352,IL-LAKESTOREY-NS20
QUE001336,IL-LAKESTOREY-NS4
QUE001337,IL-LAKESTOREY-NS5
QUE001339,IL-LAKESTOREY-NS7
QUE001341,IL-LAKESTOREY-NS9
QUE001353,IL-PPWS-NS1
QUE001354,IL-PPWS-NS2
QUE001356,IL-PPWS-NS4
QUE001357,IL-PPWS-NS5
QUE001359,IL-PPWS-NS7
QUE001360,IL-PPWS-NS8
QUE001546,IL-RYERSON-NS10
QUE001547,IL-RYERSON-NS11
QUE001548,IL-RYERSON-NS12
QUE001549,IL-RYERSON-NS13
QUE001551,IL-RYERSON-NS15
QUE001554,IL-RYERSON-NS18
QUE001556,IL-RYERSON-NS20
QUE001540,IL-RYERSON-NS4
QUE001541,IL-RYERSON-NS5
QUE001371,WI-PINERIVER-NS11
QUE001372,WI-PINERIVER-NS12
QUE001373,WI-PINERIVER-NS13
QUE001374,WI-PINERIVER-NS14
QUE001376,WI-PINERIVER-NS16
QUE001378,WI-PINERIVER-NS18
QUE001382,WI-PINERIVER-NS22
