ind_ID,sppcode,mue_frac,alb_frac,ste_frac,mac1_frac,mac2_frac,bic_frac,lat,long
QUE001547_mac,1,1.09090909090909e-05,1e-05,1e-05,0.992345272727273,0.00761381818181818,1e-05,42.183468,-87.9143
QUE001548_mac,1,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,42.183468,-87.9143
QUE001549_mac,1,1.03636363636364e-05,1e-05,1e-05,0.870354,0.113673636363636,0.0159422727272727,42.181511,-87.918994
QUE001463_alb,2,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05,34.933333,-92.414722
QUE001451_ste,4,1.01818181818182e-05,1.1e-05,0.999948818181818,1e-05,1e-05,1e-05,30.076389,-97.181667
QUE001452_ste,4,1.22727272727273e-05,1e-05,0.999947727272727,1e-05,1e-05,1e-05,30.076389,-97.181667
QUE001550_bic,3,1e-05,1e-05,1e-05,1.12727272727273e-05,1e-05,0.999948727272727,42.177593,-87.920503
QUE001551_mac,1,0.00497572727272727,1e-05,1.01818181818182e-05,0.881337454545455,0.113656272727273,1.06363636363636e-05,42.17597,-87.91698
QUE001552_bic,3,1.02727272727273e-05,1e-05,1.00909090909091e-05,1.08181818181818e-05,1.02727272727273e-05,0.999948545454545,42.17597,-87.91698
QUE001553_bic,3,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,42.174555,-87.912008
QUE001554_mac,1,1.02727272727273e-05,1e-05,1.06363636363636e-05,0.960116727272727,0.0398424545454545,1e-05,42.175674,-87.914878
QUE001555_bic,3,1e-05,1e-05,1e-05,1e-05,1.04545454545455e-05,0.999949545454545,42.175536,-87.914478
QUE001556_mac,1,1.02727272727273e-05,1e-05,0.00674409090909091,0.847367909090909,0.130606545454545,0.0152612727272727,42.175701,-87.914442
QUE001388_bic,3,1e-05,1e-05,1e-05,1.08181818181818e-05,1e-05,0.999949181818182,43.264793,-90.303891
QUE001400_ste,4,1.00909090909091e-05,1.09090909090909e-05,0.999949,1e-05,1.00909090909091e-05,1e-05,32.3582421,-89.547185
QUE001403_ste,4,1.06363636363636e-05,1.04545454545455e-05,0.999948909090909,1e-05,1e-05,1e-05,32.3582421,-89.547185
QUE001406_ste,4,1.00909090909091e-05,1e-05,0.999949454545455,1e-05,1e-05,1.04545454545455e-05,32.3582421,-89.547185
QUE001408_ste,4,1.1e-05,1e-05,0.999949,1e-05,1e-05,1e-05,32.3582421,-89.547185
QUE001409_ste,4,1.00909090909091e-05,1.04545454545455e-05,0.999948545454545,1.03636363636364e-05,1.00909090909091e-05,1.05454545454545e-05,32.3582421,-89.547185
QUE001410_ste,4,1.1e-05,1.00909090909091e-05,0.999948636363636,1e-05,1e-05,1.02727272727273e-05,32.3582421,-89.547185
QUE001411_ste,4,1.06363636363636e-05,1.11818181818182e-05,0.999947727272728,1.01818181818182e-05,1.00909090909091e-05,1.02727272727273e-05,32.3582421,-89.547185
QUE001412_ste,4,1e-05,1.07272727272727e-05,0.999949090909091,1.01818181818182e-05,1e-05,1e-05,32.3582421,-89.547185
QUE001758_alb,2,1.00909090909091e-05,0.999949636363636,1e-05,1e-05,1.02727272727273e-05,1e-05,43.10661,-89.80435
QUE001759_mac,1,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,43.10698,-89.80825
QUE001804_mac,1,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,42.04211,-93.60619
QUE001814_mac,1,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,40.7056,-91.79416
QUE001815_alb,2,1.08181818181818e-05,0.999947818181818,1e-05,1e-05,1e-05,1.13636363636364e-05,40.70625,-91.79392
QUE001819_mue,5,0.999949727272727,1e-05,1e-05,1.00909090909091e-05,1e-05,1.01818181818182e-05,40.70481,-91.79589
QUE001839_ste,4,1.06363636363636e-05,1e-05,0.999948727272727,1e-05,1.06363636363636e-05,1e-05,37.97291,-92.76217
QUE001840_mue,5,0.999948272727273,1.00909090909091e-05,1.08181818181818e-05,1e-05,1.08181818181818e-05,1e-05,37.973,-92.76217
QUE001841_alb,2,1e-05,0.848406818181818,1e-05,1e-05,0.151553181818182,1e-05,37.97316,-92.76227
QUE001862_ste,4,1.04545454545455e-05,1.08181818181818e-05,0.999947454545455,1.09090909090909e-05,1e-05,1.03636363636364e-05,36.84914,-96.4152
QUE001863_mac,1,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,36.84504,-96.42526
QUE001893_mue,5,0.999948818181818,1.03636363636364e-05,1.00909090909091e-05,1e-05,1.03636363636364e-05,1.03636363636364e-05,35.44809,-98.35347
QUE001916_mac,1,1.02727272727273e-05,1e-05,1.00909090909091e-05,0.985341818181818,0.0146178181818182,1e-05,34.80384,-92.32634
QUE001918_alb,2,1e-05,0.999949090909091,1.07272727272727e-05,1e-05,1.01818181818182e-05,1e-05,34.80299,-92.32599
QUE001932_alb,2,1e-05,0.999949636363636,1e-05,1e-05,1e-05,1.03636363636364e-05,37.15729,-91.36499
QUE001933_mac,1,1.00909090909091e-05,1.07272727272727e-05,1e-05,0.00630372727272727,0.993655545454545,1e-05,37.15687,-91.36471
QUE001783_mac,1,1.05454545454545e-05,1e-05,1e-05,1.05454545454545e-05,0.999948181818182,1.07272727272727e-05,41.9736,-91.7239
QUE001880_mac,1,1e-05,1.00909090909091e-05,1.02727272727273e-05,1.12727272727273e-05,0.999947636363636,1.07272727272727e-05,36.2204,-95.89845
QUE001907_mac,1,1e-05,1e-05,1e-05,0.995093454545455,0.00486654545454545,1e-05,35.17688,-97.4497
QUE001937_mac,1,1e-05,1e-05,1.01818181818182e-05,1e-05,0.999949818181818,1e-05,43.90292,-91.63996
QUE001963_mac,1,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,49.76137,-99.1604
QUE001971_mac,1,1.03636363636364e-05,1e-05,1e-05,0.976655636363637,0.0233039090909091,1e-05,49.85783,-97.24911
QUE001982_mac,1,1e-05,1e-05,1e-05,0.462457636363636,0.537502363636364,1e-05,46.0259,-91.14288
