ind_ID,lat,long,sympspp_num,sympspp_bin
QUE001529_bic,41.725382,-87.86371,3,Y
QUE001530_mac,41.725689,-87.862598,3,Y
QUE001531_mac,41.721522,-87.852271,3,Y
QUE001532_mac,41.718072,-87.866357,3,Y
QUE001533_mac,41.71809,-87.866302,3,Y
QUE001534_bic,41.718213,-87.866311,3,Y
QUE001535_bic,41.718543,-87.866416,3,Y
QUE001536_mac,41.72124,-87.866644,3,Y
QUE001537_bic,42.183259,-87.914855,3,Y
QUE001538_bic,42.183259,-87.914855,3,Y
QUE001539_bic,42.183259,-87.914855,3,Y
QUE001540_mac,42.183917,-87.91512,3,Y
QUE001541_mac,42.183917,-87.91512,3,Y
QUE001542_mac,42.183917,-87.91512,3,Y
QUE001543_bic,42.184283,-87.914622,3,Y
QUE001544_bic,42.185005,-87.913744,3,Y
QUE001545_bic,42.184204,-87.913637,3,Y
QUE001546_mac,42.183468,-87.9143,3,Y
QUE001547_mac,42.183468,-87.9143,3,Y
QUE001548_mac,42.183468,-87.9143,3,Y
QUE001549_mac,42.181511,-87.918994,3,Y
QUE001550_bic,42.177593,-87.920503,3,Y
QUE001551_mac,42.17597,-87.91698,3,Y
QUE001552_bic,42.17597,-87.91698,3,Y
QUE001553_bic,42.174555,-87.912008,3,Y
QUE001554_mac,42.175674,-87.914878,3,Y
QUE001555_bic,42.175536,-87.914478,3,Y
QUE001556_mac,42.175701,-87.914442,3,Y
QUE001557_bic,42.181465,-87.912833,3,Y
QUE001610_mac,41.81347,-88.06293,3,Y
QUE001611_alb,41.81345,-88.06309,3,Y
QUE001629_mac,41.81671,-88.0628,3,Y
QUE001630_alb,41.81672,-88.06216,3,Y
QUE001720_mac,39.9355,-89.80083,4,Y
QUE001721_mac,39.93549,-89.80068,4,Y
QUE001728_mac,41.82069,-88.05,3,Y
QUE001729_alb,41.82057,-88.05048,3,Y
QUE001750_alb,43.10632,-89.8066,3,Y
QUE001758_alb,43.10661,-89.80435,3,Y
QUE001759_mac,43.10698,-89.80825,3,Y
QUE001764_alb,43.10661,-89.80337,3,Y
QUE001767_mac,43.10543,-89.80593,3,Y
QUE001778_mac,43.10583,-89.8049,3,Y
QUE001780_mac,41.97323,-91.72465,3,Y
QUE001783_mac,41.9736,-91.7239,3,Y
