ind_ID,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elev,moist_index
QUE002487_alb,9.20833301544189,11.6333332061768,30.1381702423096,1001.69134521484,28.7999992370605,-9.80000019073486,38.5999984741211,19.1000003814697,-3.63333344459534,21.1166667938232,-3.63333344459534,875,92,42,22.7658824920654,269,152,266,152,227,-20.0913242009132
QUE002488_mue,9.20833301544189,11.6333332061768,30.1381702423096,1001.69134521484,28.7999992370605,-9.80000019073486,38.5999984741211,19.1000003814697,-3.63333344459534,21.1166667938232,-3.63333344459534,875,92,42,22.7658824920654,269,152,266,152,227,-20.0913242009132
QUE002492_mac,9.20833301544189,11.6333332061768,30.1381702423096,1001.69134521484,28.7999992370605,-9.80000019073486,38.5999984741211,19.1000003814697,-3.63333344459534,21.1166667938232,-3.63333344459534,875,92,42,22.7658824920654,269,152,266,152,227,-20.0913242009132
QUE002493_alb,9.20833301544189,11.6333332061768,30.1381702423096,1001.69134521484,28.7999992370605,-9.80000019073486,38.5999984741211,19.1000003814697,-3.63333344459534,21.1166667938232,-3.63333344459534,874,91,42,22.5368061065674,268,152,264,152,227,-20.1826484018265
QUE002494_alb,9.20833301544189,11.6333332061768,30.1381702423096,1001.69134521484,28.7999992370605,-9.80000019073486,38.5999984741211,19.1000003814697,-3.63333344459534,21.1166667938232,-3.63333344459534,874,91,42,22.5368061065674,268,152,264,152,227,-20.1826484018265
QUE002495_alb,9.64166641235352,10.3166666030884,26.796537399292,1018.60382080078,28.6000003814697,-9.89999961853027,38.5,21.783332824707,-3.51666665077209,21.783332824707,-3.51666665077209,946,102,39,27.4736042022705,298,147,298,147,218,-17.4520069808028
QUE002496_mac,9.64166641235352,10.3166666030884,26.796537399292,1018.60382080078,28.6000003814697,-9.89999961853027,38.5,21.783332824707,-3.51666665077209,21.783332824707,-3.51666665077209,946,102,39,27.4736042022705,298,147,298,147,218,-17.4520069808028
QUE002502_mac,9.64166641235352,10.3166666030884,26.796537399292,1018.60382080078,28.6000003814697,-9.89999961853027,38.5,21.783332824707,-3.51666665077209,21.783332824707,-3.51666665077209,946,102,39,27.4736042022705,298,147,298,147,218,-17.4520069808028
QUE002503_alb,9.64166641235352,10.3166666030884,26.796537399292,1018.60382080078,28.6000003814697,-9.89999961853027,38.5,21.783332824707,-3.51666665077209,21.783332824707,-3.51666665077209,946,102,39,27.4736042022705,298,147,298,147,218,-17.4520069808028
QUE002510_mac,9.62083339691162,10.2916669845581,26.8012161254883,1016.42077636719,28.5,-9.89999961853027,38.4000015258789,21.716667175293,-3.51666665077209,21.716667175293,-3.51666665077209,948,102,39,27.5619144439697,298,147,298,147,216,-16.9877408056042
QUE002511_alb,9.62083339691162,10.2916669845581,26.8012161254883,1016.42077636719,28.5,-9.89999961853027,38.4000015258789,21.716667175293,-3.51666665077209,21.716667175293,-3.51666665077209,948,102,39,27.5619144439697,298,147,298,147,216,-16.9877408056042
QUE002515_mac,9.99166679382324,11.1666669845581,28.1986541748047,1032.0078125,29.3999996185303,-10.1999998092651,39.5999984741211,20,-3.41666674613953,22.2000007629395,-3.41666674613953,919,100,35,29.6198463439941,296,135,287,135,160,-21.7206132879046
QUE002518_mac,9.99166679382324,11.1666669845581,28.1986541748047,1032.0078125,29.3999996185303,-10.1999998092651,39.5999984741211,20,-3.41666674613953,22.2000007629395,-3.41666674613953,919,100,35,29.6198463439941,296,135,287,135,160,-21.7206132879046
QUE002520_mac,9.99166679382324,11.1666669845581,28.1986541748047,1032.0078125,29.3999996185303,-10.1999998092651,39.5999984741211,20,-3.41666674613953,22.2000007629395,-3.41666674613953,919,100,35,29.6198463439941,296,135,287,135,160,-21.7206132879046
QUE002521_mac,9.36666679382324,10.5500001907349,27.1208229064941,1030.38684082031,28.6000003814697,-10.3000001907349,38.9000015258789,21.6499996185303,-3.88333344459534,21.6499996185303,-3.88333344459534,892,105,34,30.1233768463135,294,135,294,135,209,-22.5021720243267
QUE002522_alb,9.30833339691162,10.5166664123535,27.1048107147217,1029.20275878906,28.5,-10.3000001907349,38.7999992370605,21.6000003814697,-3.91666674613953,21.6000003814697,-3.91666674613953,888,104,34,29.9278602600098,292,135,292,135,206,-22.4454148471616
QUE002526_alb,9.36666679382324,10.5500001907349,27.1208229064941,1030.38684082031,28.6000003814697,-10.3000001907349,38.9000015258789,21.6499996185303,-3.88333344459534,21.6499996185303,-3.88333344459534,892,105,34,30.1233768463135,294,135,294,135,209,-22.5021720243267
QUE002527_mac,9.30833339691162,10.5166664123535,27.1048107147217,1029.20275878906,28.5,-10.3000001907349,38.7999992370605,21.6000003814697,-3.91666674613953,21.6000003814697,-3.91666674613953,888,104,34,29.9278602600098,292,135,292,135,206,-22.4454148471616
QUE002528_bic,9.30833339691162,10.5166664123535,27.1048107147217,1029.20275878906,28.5,-10.3000001907349,38.7999992370605,21.6000003814697,-3.91666674613953,21.6000003814697,-3.91666674613953,888,104,34,29.9278602600098,292,135,292,135,206,-22.4454148471616
QUE002529_bic,9.30833339691162,10.5166664123535,27.1048107147217,1029.20275878906,28.5,-10.3000001907349,38.7999992370605,21.6000003814697,-3.91666674613953,21.6000003814697,-3.91666674613953,888,104,34,29.9278602600098,292,135,292,135,206,-22.4454148471616
QUE002531_bic,9.30833339691162,10.5166664123535,27.1048107147217,1029.20275878906,28.5,-10.3000001907349,38.7999992370605,21.6000003814697,-3.91666674613953,21.6000003814697,-3.91666674613953,888,104,34,29.9278602600098,292,135,292,135,206,-22.4454148471616
QUE002533_mac,9.30833339691162,10.5166664123535,27.1048107147217,1029.20275878906,28.5,-10.3000001907349,38.7999992370605,21.6000003814697,-3.91666674613953,21.6000003814697,-3.91666674613953,888,104,34,29.9278602600098,292,135,292,135,206,-22.4454148471616
QUE002534_alb,9.36666679382324,10.5500001907349,27.1208229064941,1030.38684082031,28.6000003814697,-10.3000001907349,38.9000015258789,21.6499996185303,-3.88333344459534,21.6499996185303,-3.88333344459534,892,105,34,30.1233768463135,294,135,294,135,209,-22.5021720243267
QUE002535_alb,9.93333339691162,10.7833337783813,27.4385070800781,1036.03991699219,29.3999996185303,-9.89999961853027,39.2999992370605,22.3166656494141,-3.43333339691162,22.3166656494141,-3.43333339691162,933,104,39,27.8793849945068,298,145,298,145,205,-22.25
