ind_ID,long,lat,dist_from_rangeedge
QUE001548_mac,-87.9143,42.183468,190745.638795652
QUE001549_mac,-87.918994,42.181511,191181.306640661
QUE001550_bic,-87.920503,42.177593,167112.933443708
QUE001551_mac,-87.91698,42.17597,191457.819575665
QUE001552_bic,-87.91698,42.17597,167283.793912887
QUE001553_bic,-87.912008,42.174555,167428.602534086
QUE001554_mac,-87.914878,42.175674,191348.160506938
QUE001555_bic,-87.914478,42.175536,167325.670347296
QUE001556_mac,-87.914442,42.175701,191318.989915695
QUE001557_bic,-87.912833,42.181465,166663.445500464
QUE001610_mac,-88.06293,41.81347,228097.78243531
QUE001611_alb,-88.06309,41.81345,337909.224417685
QUE001629_mac,-88.0628,41.81671,227828.696303816
QUE001630_alb,-88.06216,41.81672,337560.799430969
QUE001720_mac,-89.80083,39.9355,332928.738262466
