ind_ID,lat,long
QUE001900_mac,35.43874,-98.35495
QUE001902_mac,35.43854,-98.35497
QUE001904_mac,35.17705,-97.44921
QUE001907_mac,35.17688,-97.4497
QUE001912_mac,35.17722,-97.45003
QUE001915_ste,34.80412,-92.32674
QUE001916_mac,34.80384,-92.32634
QUE001918_alb,34.80299,-92.32599
QUE001920_alb,34.80306,-92.32555
QUE001922_mac,34.8028,-92.32557
QUE001923_ste,34.80348,-92.3259
QUE001924_mac,34.80377,-92.32698
QUE001925_ste,34.80427,-92.32652
QUE001927_bic,34.80445,-92.3264
QUE001928_mac,34.80445,-92.32612
QUE001929_mac,37.1574,-91.36496
QUE001930_mue,37.1574,-91.36496
QUE001932_alb,37.15729,-91.36499
QUE001933_mac,37.15687,-91.36471
QUE001936_mac,37.15758,-91.36513
QUE001937_mac,43.90292,-91.63996
QUE001938_mue,43.903,-91.63986
QUE001940_mac,43.90232,-91.63887
QUE001943_alb,43.89158,-91.64829
QUE001947_mue,43.89142,-91.64893
QUE001951_mac,49.71376,-95.24385
QUE001955_mac,49.71204,-95.2448
QUE001959_mac,49.71187,-95.24456
QUE001960_mac,49.76104,-99.15971
QUE001963_mac,49.76137,-99.1604
QUE001969_mac,49.76055,-99.15844
QUE001971_mac,49.85783,-97.24911
QUE001974_mac,49.85392,-97.24828
QUE001979_mac,49.85344,-97.24661
QUE001980_mac,46.02383,-91.14557
QUE001982_mac,46.0259,-91.14288
QUE001985_mac,46.0244,-91.12945
QUE002057_mac,38.963586,-98.58906
QUE002058_mac,38.963586,-98.58906
QUE002059_mac,38.963586,-98.58906
QUE002068_mac,38.842944,-97.588909
QUE002069_mac,38.842944,-97.588909
QUE002072_mac,39.839311,-88.367745
QUE002073_mac,39.839311,-88.367745
QUE002074_mac,39.839311,-88.367745
QUE002075_alb,39.839311,-88.367745
QUE002076_mac,39.839311,-88.367745
QUE002081_mac,37.51492,-89.4445
QUE002082_mac,37.51639,-89.44535
QUE002083_mac,37.51651,-89.44542
QUE002084_mac,37.51726,-89.44584
QUE002085_mac,38.7362,-86.41257
QUE002086_mue,38.73625,-86.41245
QUE002087_mac,38.73603,-86.41255
QUE002091_alb,38.73631,-86.41434
QUE002092_bic,38.73651,-86.41478
QUE002096_mac,38.73833,-86.41346
QUE002098_mue,38.73743,-86.41263
QUE002099_mue,40.45791,-85.50685
QUE002101_mue,40.45892,-85.50383
QUE002102_mac,40.45905,-85.50411
QUE002103_mac,40.45908,-85.50446
QUE002105_mac,40.45916,-85.50807
QUE002106_mac,40.45911,-85.50878
QUE002107_mac,40.45917,-85.50926
QUE002108_alb,40.45911,-85.50917
QUE002109_alb,40.45916,-85.50973
QUE002110_mac,41.53273,-87.2948
QUE002114_mac,41.53403,-87.29146
QUE002119_mac,41.53239,-87.29708
QUE002121_alb,41.65738,-87.06045
QUE002124_alb,41.65955,-87.06218
QUE002128_alb,41.65947,-87.04994
QUE002129_mac,41.9623302,-73.313005
QUE002130_mac,42.0161441,-73.335343
QUE002132_mac,42.1665869,-73.412025
QUE002133_mac,42.1666494,-73.41209
QUE002134_mac,42.9102876,-73.219556
QUE002135_mac,42.910269,-73.219522
QUE002136_mac,42.909897,-73.218712
QUE002137_mac,43.6034268,-73.181065
QUE002138_alb,43.604683,-73.180401
QUE002139_mac,43.5836123,-73.202578
QUE002140_mac,43.7432343,-73.04841
QUE002141_mac,43.9166704,-73.19356
QUE002143_mac,43.951352,-73.222777
QUE002147_mac,44.0059347,-73.148044
QUE002148_mac,44.2343287,-73.243211
QUE002149_alb,44.2354233,-73.243422
QUE002150_mac,44.2339356,-73.243122
QUE002151_mac,44.2643368,-73.249727
QUE002153_bic,44.4001175,-73.237528
QUE002154_mac,44.4006814,-73.23757
QUE002155_alb,44.4463947,-73.220154
QUE002157_alb,44.44643,-73.220373
QUE002158_mac,44.5802303,-73.163558
QUE002159_mac,44.5792499,-73.165539
QUE002160_mac,44.6675241,-73.344894
QUE002161_mac,44.7174297,-73.32585
QUE002164_mac,44.7473055,-73.31218
QUE002166_mac,38.46385,-90.80547
QUE002170_mac,38.46187,-90.81498
QUE002175_mac,38.46608,-90.8094
QUE002176_alb,38.51339,-90.57564
QUE002180_ste,38.51456,-90.57724
QUE002183_ste,38.51437,-90.57241
QUE002187_mac,38.51089,-90.55987
QUE002188_ste,38.51146,-90.55917
QUE002189_mue,38.51135,-90.55921
QUE002193_alb,38.51347,-90.55741
QUE002194_mac,38.22685,-91.08245
QUE002195_ste,38.22665,-91.08285
QUE002196_bic,38.22667,-91.08296
QUE002202_mac,38.22441,-91.08194
QUE002208_mac,38.22826,-91.08238
QUE002209_ste,38.21813,-91.08355
QUE002210_alb,38.21718,-91.08636
QUE002216_alb,38.21713,-91.09208
QUE002219_ste,38.21786,-91.09209
QUE002225_alb,38.21733,-91.09339
QUE002226_mue,37.15758,-91.30513
QUE002229_ste,38.97864,-94.80724
QUE002232_alb,38.97918,-94.80692
QUE002239_mue,38.97934,-94.80537
QUE002240_ste,38.97934,-94.80537
QUE002247_mue,38.97887,-94.80495
QUE002250_mue,38.97394,-94.80509
QUE002251_mac,38.98007,-94.8052
QUE002252_ste,38.98014,-94.80504
QUE002253_alb,38.9803,-94.80532
QUE002256_mac,38.98048,-94.80568
QUE002261_alb,38.9813,-94.80572
QUE002265_mac,38.98141,-94.81036
QUE002267_mue,38.80954,-95.18853
QUE002268_mac,38.80951,-95.18855
