Sample	Top over-represented sequence	Sum of remaining over-represented sequences
home | gabe | qmac | analyses | qc | OAK-MOR-000784_S198_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000785_S233_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000785_S233_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000786_S219_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000786_S219_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000787_S205_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000787_S205_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000788_S215_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000788_S215_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000789_S187_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000789_S187_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000790_S207_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000790_S207_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000791_S188_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000791_S188_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000792_S266_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000792_S266_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000793_S201_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000793_S201_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000795_S217_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000795_S217_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000796_S234_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000796_S234_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000797_S277_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000797_S277_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000798_S246_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000798_S246_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000799_S229_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000799_S229_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000836_S302_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000836_S302_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000890_S304_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000890_S304_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000891_S306_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000891_S306_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000893_S293_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000893_S293_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000894_S335_L007_R1_001	0.0	0.0
