ind_ID spp Pure_alb Pure_mac F1 F2 Bx1_alb Bx1_mac Bx2_alb Bx2_mac Bx3_alb Bx3_mac
QUE002232_alb alb 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE002256_mac mac 0 0.99904 0 0 0 0 0 0 0 0.00096
QUE002261_alb alb 0.99994 0 0 0 0 0 0 0 6e-05 0
QUE002265_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002268_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002269_alb alb 0.99994 0 0 0 0 0 0 0 6e-05 0
QUE002275_alb alb 0.99952 0 0 0 0 0 0 0 0.00047 0
QUE002291_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002299_mac mac 0 0.99979 0 0 0 0 0 0 0 0.00021
QUE002313_alb alb 0.95212 0 0 0 0 0 0.00112 0 0.04676 0
QUE002314_alb alb 0.99995 0 0 0 0 0 0 0 5e-05 0
QUE002315_alb alb 0.99995 0 0 0 0 0 0 0 5e-05 0
QUE002319_alb alb 0.99992 0 0 0 0 0 0 0 8e-05 0
QUE002324_alb alb 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE002338_mac mac 0 0.99712 0 0 0 0 0 0 0 0.00288
QUE002339_alb alb 0.99969 0 0 0 0 0 0 0 0.00031 0
QUE002341_mac mac 0 0.75669 0 0 0 0 0 0.00401 0 0.2393
QUE002342_alb alb 0.99989 0 0 0 0 0 0 0 0.00011 0
QUE002346_alb alb 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE002351_alb alb 0.99996 0 0 0 0 0 0 0 4e-05 0
QUE002362_alb alb 0.99993 0 0 0 0 0 0 0 7e-05 0
QUE002379_mac mac 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE002383_alb alb 0.99993 0 0 0 0 0 0 0 7e-05 0
QUE002384_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002385_alb alb 0 0 1 0 0 0 0 0 0 0
QUE002392_alb alb 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE002393_mac mac 0 0.99991 0 0 0 0 0 0 0 9e-05
QUE002404_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002410_alb alb 0.99952 0 0 0 0 0 0 0 0.00048 0
QUE002411_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002416_alb alb 0.99979 0 0 0 0 0 0 0 0.00021 0
QUE002417_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002422_alb alb 0.91914 0 0 0 0 0 0.00468 0 0.07618 0
QUE002427_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002430_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002433_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002443_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002445_mac mac 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE002450_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002453_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002454_mac mac 0 0.99938 0 0 0 0 0 0 0 0.00061
QUE002459_mac mac 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE002460_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002467_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002474_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
