ind_ID spp Pure_ste Pure_mac F1 F2 Bx1_ste Bx1_mac Bx2_ste Bx2_mac Bx3_ste Bx3_mac
QUE002135_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002136_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002148_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002151_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002159_mac mac 0 0.99986 0 0 0 0 0 0 0 0.00013
QUE002160_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002161_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002166_mac mac 0 0.99969 0 0 0 0 0 0 0 0.00031
QUE002170_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002175_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002180_ste ste 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE002194_mac mac 0 0.99557 0 0 0 0 0 3e-05 0 0.0044
QUE002195_ste ste 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE002202_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002229_ste ste 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE002240_ste ste 0.99919 0 0 0 0 0 0 0 0.00081 0
QUE002256_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002265_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002268_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002291_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002299_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002338_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002379_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002384_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002393_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002404_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002411_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002417_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002427_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002430_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002433_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002443_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002445_mac mac 0 0.99944 0 0 0 0 0 1e-05 0 0.00055
QUE002450_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002453_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002454_mac mac 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE002459_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002460_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002467_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002474_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002478_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002492_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002496_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002502_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002510_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002515_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002518_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002520_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002521_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002533_mac mac 0 1 0 0 0 0 0 0 0 0
