ind_ID	Pure_0	Pure_1	F1	F2	P0_F1	P1_F1	P0_P0F1	P1_P1F1	P0_P0P0F1	P1_P1P1F1
QUE001338_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001339_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001342_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001343_mac	0.00000	0.99974	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00025
QUE001345_mac	0.00000	0.99960	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00039
QUE001346_mac	0.00000	0.99997	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003
QUE001347_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001348_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001350_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001351_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001352_mac	0.00000	0.99999	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001
QUE001370_mac	0.00000	0.99999	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001
QUE001371_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001372_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001487_mac	0.00000	0.99999	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001
QUE001526_mac	0.00000	0.99946	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00053
QUE001530_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001532_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001533_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001536_mac	0.00000	0.99986	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00014
QUE001541_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001542_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001547_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001548_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001549_mac	0.00000	0.99999	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001
QUE001451_ste	0.99783	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00217	0.00000
QUE001452_ste	0.99996	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000
QUE001551_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001554_mac	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE001556_mac	0.00000	0.99999	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001
QUE001400_ste	0.99981	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00019	0.00000
QUE001403_ste	0.99985	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00015	0.00000
QUE001406_ste	0.99999	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000
QUE001408_ste	0.99974	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00026	0.00000
