"","ffd","ind_ID"
"382",146,"QUE002493"
"383",146,"QUE002494"
"384",154,"QUE002495"
"385",154,"QUE002496"
"386",154,"QUE002502"
"387",154,"QUE002503"
"388",154,"QUE002510"
"389",154,"QUE002511"
"390",147,"QUE002515"
"391",147,"QUE002518"
"392",147,"QUE002520"
"393",147,"QUE002521"
"394",147,"QUE002522"
"395",147,"QUE002526"
"396",147,"QUE002527"
"397",147,"QUE002528"
"398",147,"QUE002529"
"399",147,"QUE002531"
"400",147,"QUE002533"
"401",147,"QUE002534"
"402",148,"QUE002535"
"403",148,"QUE002536"
"404",148,"QUE002539"
"405",148,"QUE002542"
"406",148,"QUE002544"
"407",148,"QUE002555"
"408",148,"QUE002556"
"409",148,"QUE002558"
"410",148,"QUE002559"
"411",147,"QUE002560"
"412",147,"QUE002564"
"413",103,"QUE002570"
"414",103,"QUE002574"
"415",125,"QUE002579"
"416",112,"QUE002581"
"417",112,"QUE002585"
"418",110,"QUE002589"
"419",124,"QUE002590"
"420",129,"QUE002595"
"421",131,"QUE002599"
"422",148,"QUE002601"
"423",124,"QUE002608"
"424",137,"QUE002613"
"425",137,"QUE002614"
"426",136,"QUE002615"
"427",136,"QUE002616"
"428",136,"QUE002617"
"429",134,"QUE002631"
"430",134,"QUE002634"
"431",134,"QUE002637"
"432",134,"QUE002638"
"433",134,"QUE002641"
"434",134,"QUE002647"
