ind_ID sppcode mac_frac alb_frac bic_frac ste_frac mue_frac
QUE001882_mac mac 0.9349 1e-05 0.06507 1e-05 1e-05
QUE001885_alb alb 0.483894 0.50585 0.010236 1e-05 1e-05
QUE001886_mac mac 0.604316 1e-05 1e-05 1e-05 0.395654
QUE001898_mue mue 0.512254 1e-05 1e-05 1e-05 0.487716
QUE001900_mac mac 0.982995 1e-05 1e-05 0.016975 1e-05
QUE001904_mac mac 0.988098 0.00729 1e-05 0.004592 1e-05
QUE001912_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001920_alb alb 0.5116 0.479646 1e-05 0.008734 1e-05
QUE001922_mac mac 0.506129 0.489192 0.000423 0.004247 1e-05
QUE001923_ste ste 0.468574 1e-05 1e-05 0.531396 1e-05
QUE001924_mac mac 0.983694 1e-05 0.014601 0.001685 1e-05
QUE001925_ste ste 0.464355 1e-05 1e-05 0.535615 1e-05
QUE001928_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001929_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001930_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE001936_mac mac 0.990954 1e-05 1e-05 1e-05 0.009016
QUE001938_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE001943_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE001959_mac mac 0.997346 1e-05 1e-05 1e-05 0.002624
QUE001969_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001980_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001985_mac mac 0.97651 0.010717 1e-05 0.012753 1e-05
QUE002058_mac mac 0.987981 1e-05 0.008813 0.003187 1e-05
QUE002068_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002069_mac mac 0.992035 0.007935 1e-05 1e-05 1e-05
QUE002072_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002073_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002076_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002083_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002084_mac mac 0.988356 1e-05 0.008829 0.000284 0.002522
QUE002087_mac mac 0.99598 0.00399 1e-05 1e-05 1e-05
QUE002096_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002099_mue mue 1e-05 0.585783 1e-05 1e-05 0.414187
QUE002106_mac mac 0.507708 0.466983 0.011771 1e-05 0.013528
QUE002109_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002110_mac mac 0.979086 1e-05 1e-05 1e-05 0.020884
QUE002114_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002119_mac mac 0.995066 1e-05 0.004904 1e-05 1e-05
QUE002124_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002128_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002132_mac mac 0.410169 0.024324 0.557163 1e-05 0.008334
QUE002134_mac mac 0.935509 1e-05 0.064461 1e-05 1e-05
QUE002135_mac mac 0.953652 1e-05 0.008173 1e-05 0.038155
QUE002136_mac mac 0.967846 0.005329 0.026803 1e-05 1.3e-05
QUE002139_mac mac 0.510244 0.037155 0.452581 1e-05 1e-05
QUE002140_mac mac 0.926141 1e-05 0.073829 1e-05 1e-05
QUE002141_mac mac 0.91504 0.029841 0.055099 1e-05 1e-05
QUE002143_mac mac 0.89754 0.023082 0.079357 1e-05 1e-05
QUE002147_mac mac 0.938652 0.026375 0.034953 1e-05 1e-05
QUE002148_mac mac 0.969902 1e-05 0.028614 0.001464 1e-05
QUE002149_alb alb 0.48231 0.506618 0.011053 1e-05 1e-05
QUE002150_mac mac 0.922233 1e-05 0.077737 1e-05 1e-05
QUE002151_mac mac 0.94792 1e-05 0.05205 1e-05 1e-05
QUE002157_alb alb 0.287583 0.572454 0.139943 1e-05 1e-05
QUE002159_mac mac 0.955267 1e-05 0.044703 1e-05 1e-05
QUE002160_mac mac 0.981946 1e-05 0.018024 1e-05 1e-05
QUE002161_mac mac 0.952539 0.00446 0.042981 1e-05 1e-05
QUE002166_mac mac 0.996662 1e-05 0.003308 1e-05 1e-05
QUE002170_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002175_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002176_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002180_ste ste 1e-05 1e-05 1e-05 0.99996 1e-05
QUE002194_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002195_ste ste 1e-05 1e-05 1e-05 0.99996 1e-05
QUE002202_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002216_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002225_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002226_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE002229_ste ste 1e-05 1e-05 1e-05 0.99996 1e-05
QUE002232_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002240_ste ste 1e-05 1e-05 1e-05 0.99996 1e-05
QUE002256_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002261_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002265_mac mac 0.98412 1e-05 0.01585 1e-05 1e-05
QUE002267_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE002268_mac mac 0.966678 1e-05 1e-05 1e-05 0.033292
QUE002269_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002275_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002290_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE002291_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002299_mac mac 0.993707 1e-05 1e-05 0.006263 1e-05
QUE002310_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE002313_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002314_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002315_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002319_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002324_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002331_mac mac 0.866514 1e-05 0.133456 1e-05 1e-05
QUE002335_mac mac 0.8442 0.038521 0.117259 1e-05 1e-05
QUE002338_mac mac 0.99138 1e-05 0.005044 0.003556 1e-05
QUE002339_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002341_mac mac 0.932744 0.018869 0.048367 1e-05 1e-05
QUE002342_alb alb 0.0181 0.98187 1e-05 1e-05 1e-05
QUE002346_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002347_bic bic 0.042471 1e-05 0.957499 1e-05 1e-05
QUE002351_alb alb 0.014051 0.985919 1e-05 1e-05 1e-05
QUE002362_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002379_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002383_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002384_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002385_alb alb 0.488003 0.511967 1e-05 1e-05 1e-05
QUE002392_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002393_mac mac 0.987567 1e-05 1e-05 1e-05 0.012403
QUE002404_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002410_alb alb 0.01061 0.98936 1e-05 1e-05 1e-05
QUE002411_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002416_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002417_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002422_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002427_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002430_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002433_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002443_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002445_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002450_mac mac 0.994748 1e-05 0.005222 1e-05 1e-05
QUE002453_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002454_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002459_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002460_mac mac 0.974554 1e-05 0.025416 1e-05 1e-05
QUE002467_mac mac 0.968379 1e-05 0.031591 1e-05 1e-05
QUE002474_mac mac 0.995254 1e-05 0.004716 1e-05 1e-05
QUE002478_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002484_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE002487_alb alb 0.004124 0.995846 1e-05 1e-05 1e-05
QUE002488_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE002492_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002494_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002495_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002496_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002502_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002503_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002510_mac mac 0.994533 1e-05 1e-05 1e-05 0.005437
QUE002511_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002515_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002518_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002520_mac mac 0.991962 1e-05 1e-05 1e-05 0.008008
QUE002521_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002522_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002529_bic bic 1e-05 1e-05 0.99996 1e-05 1e-05
QUE002531_bic bic 1e-05 1e-05 0.99996 1e-05 1e-05
QUE002533_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002534_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002542_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002544_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002555_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002556_bic bic 1e-05 1e-05 0.99996 1e-05 1e-05
QUE002558_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002559_mac mac 0.996335 1e-05 1e-05 1e-05 0.003635
QUE002560_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002564_mac mac 0.99354 1e-05 1e-05 1e-05 0.00643
QUE002581_mac mac 0.945138 0.006182 1e-05 0.007517 0.041152
QUE002570_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001632_mac mac 0.992272 1e-05 0.007698 1e-05 1e-05
QUE001633_mac mac 0.495353 1e-05 1e-05 0.504617 1e-05
QUE001635_mac mac 0.960261 1e-05 0.03003 1e-05 0.009689
QUE001636_mac mac 0.982178 1e-05 0.017792 1e-05 1e-05
QUE001638_mac mac 0.987502 1e-05 0.011461 1e-05 0.001017
QUE001644_mac mac 0.990435 0.009535 1e-05 1e-05 1e-05
QUE001645_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001647_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001648_mac mac 0.995466 1e-05 0.004504 1e-05 1e-05
QUE001649_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
