ind_ID sppcode mac1_frac mac2_frac alb_frac bic_frac ste_frac mue_frac
QUE001539_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001541_mac mac 0.897651 0.102309 1e-05 1e-05 1e-05 1e-05
QUE001542_mac mac 0.889331 0.110629 1e-05 1e-05 1e-05 1e-05
QUE001543_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001545_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001547_mac mac 0.916025 0.083935 1e-05 1e-05 1e-05 1e-05
QUE001548_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE001549_mac mac 0.980062 1e-05 1e-05 0.019898 1e-05 1e-05
QUE001463_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE001451_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE001452_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE001550_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001551_mac mac 0.992401 1e-05 1e-05 0.007559 1e-05 1e-05
QUE001552_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001553_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001554_mac mac 0.79694 0.188616 1e-05 0.014415 1e-05 1e-05
QUE001555_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001556_mac mac 0.727881 0.24056 1e-05 0.020058 1e-05 0.01148
QUE001388_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001400_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE001403_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE001406_ste ste 1e-05 1e-05 1.6e-05 1e-05 0.999944 1e-05
QUE001408_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE001409_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE001410_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE001411_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE001412_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE001758_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE001759_mac mac 0.978077 0.021883 1e-05 1e-05 1e-05 1e-05
QUE001804_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE001814_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE001815_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE001819_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
QUE001839_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE001840_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
QUE001841_alb alb 0.018928 0.154709 0.826333 1e-05 1e-05 1e-05
QUE001862_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE001863_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE001893_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
QUE001916_mac mac 0.95206 0.0479 1e-05 1e-05 1e-05 1e-05
QUE001918_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE001932_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE001933_mac mac 0.105725 0.878818 1e-05 1e-05 1e-05 0.015427
QUE001783_mac mac 1e-05 0.99995 1e-05 1e-05 1e-05 1e-05
QUE001880_mac mac 1e-05 0.99995 1e-05 1e-05 1e-05 1e-05
QUE001907_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE001937_mac mac 1e-05 0.99995 1e-05 1e-05 1e-05 1e-05
QUE001963_mac mac 0.007112 0.992848 1e-05 1e-05 1e-05 1e-05
QUE001971_mac mac 0.92638 0.061258 1e-05 0.005435 1e-05 0.006906
QUE001982_mac mac 0.565205 0.434752 1e-05 1.2e-05 1e-05 1e-05
QUE002057_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002074_mac mac 0.242353 0.757607 1e-05 1e-05 1e-05 1e-05
QUE002075_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002081_mac mac 0.007121 0.985096 0.007753 1e-05 1e-05 1e-05
QUE002082_mac mac 1e-05 0.99995 1e-05 1e-05 1e-05 1e-05
QUE002085_mac mac 0.189445 0.810515 1e-05 1e-05 1e-05 1e-05
QUE002091_alb alb 1e-05 1e-05 0.999945 1e-05 1e-05 1.5e-05
