ind_ID,sppcode,mac1_frac,mac2_frac,alb_frac,bic_frac,ste_frac,mue_frac,lat,long
QUE001409_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,32.3582421,-89.547185
QUE001410_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,32.3582421,-89.547185
QUE001411_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,32.3582421,-89.547185
QUE001412_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,32.3582421,-89.547185
QUE001758_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,43.10661,-89.80435
QUE001759_mac,mac,0.978077,0.021883,1e-05,1e-05,1e-05,1e-05,43.10698,-89.80825
QUE001804_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,42.04211,-93.60619
QUE001814_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,40.7056,-91.79416
QUE001815_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,40.70625,-91.79392
QUE001819_mue,mue,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,40.70481,-91.79589
QUE001839_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,37.97291,-92.76217
QUE001840_mue,mue,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,37.973,-92.76217
QUE001841_alb,alb,0.018928,0.154709,0.826333,1e-05,1e-05,1e-05,37.97316,-92.76227
QUE001862_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,36.84914,-96.4152
QUE001863_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,36.84504,-96.42526
QUE001893_mue,mue,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,35.44809,-98.35347
QUE001916_mac,mac,0.95206,0.0479,1e-05,1e-05,1e-05,1e-05,34.80384,-92.32634
QUE001918_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,34.80299,-92.32599
QUE001932_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,37.15729,-91.36499
QUE001933_mac,mac,0.105725,0.878818,1e-05,1e-05,1e-05,0.015427,37.15687,-91.36471
QUE001783_mac,mac,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05,41.9736,-91.7239
QUE001880_mac,mac,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05,36.2204,-95.89845
QUE001907_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,35.17688,-97.4497
QUE001937_mac,mac,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05,43.90292,-91.63996
QUE001963_mac,mac,0.007112,0.992848,1e-05,1e-05,1e-05,1e-05,49.76137,-99.1604
QUE001971_mac,mac,0.92638,0.061258,1e-05,0.005435,1e-05,0.006906,49.85783,-97.24911
QUE001982_mac,mac,0.565205,0.434752,1e-05,1.2e-05,1e-05,1e-05,46.0259,-91.14288
QUE002057_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,38.963586,-98.58906
QUE002074_mac,mac,0.242353,0.757607,1e-05,1e-05,1e-05,1e-05,39.839311,-88.367745
QUE002075_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,39.839311,-88.367745
QUE002081_mac,mac,0.007121,0.985096,0.007753,1e-05,1e-05,1e-05,37.51492,-89.4445
QUE002082_mac,mac,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05,37.51639,-89.44535
QUE002085_mac,mac,0.189445,0.810515,1e-05,1e-05,1e-05,1e-05,38.7362,-86.41257
QUE002091_alb,alb,1e-05,1e-05,0.999945,1e-05,1e-05,1.5e-05,38.73631,-86.41434
QUE002098_mue,mue,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,38.73743,-86.41263
QUE002105_mac,mac,0.977299,1e-05,0.006888,1e-05,0.009281,0.006513,40.45916,-85.50807
QUE002108_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,40.45911,-85.50917
QUE002121_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,41.65738,-87.06045
QUE002129_mac,mac,0.013723,0.986237,1e-05,1e-05,1e-05,1e-05,41.9623302,-73.313005
QUE002133_mac,mac,0.752654,0.116739,0.03888,0.091707,1e-05,1e-05,42.1666494,-73.41209
QUE002138_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,43.604683,-73.180401
QUE002154_mac,mac,0.941054,0.034725,1e-05,0.024191,1e-05,1e-05,44.4006814,-73.23757
QUE002155_alb,alb,0.146609,0.012768,0.523747,0.316856,1e-05,1e-05,44.4463947,-73.220154
QUE002187_mac,mac,0.87982,0.093087,1e-05,1e-05,1e-05,0.027064,38.51089,-90.55987
QUE002188_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,38.51146,-90.55917
QUE002189_mue,mue,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,38.51135,-90.55921
QUE002196_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,38.22667,-91.08296
QUE002209_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,38.21813,-91.08355
QUE002210_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,38.21718,-91.08636
QUE002219_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,38.21786,-91.09209
QUE002247_mue,mue,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,38.97887,-94.80495
QUE002251_mac,mac,0.137165,0.862795,1e-05,1e-05,1e-05,1e-05,38.98007,-94.8052
QUE002252_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,38.98014,-94.80504
QUE002253_alb,alb,1e-05,1.2e-05,0.999948,1e-05,1e-05,1e-05,38.9803,-94.80532
QUE002285_mue,mue,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,38.8087,-95.19389
QUE002302_mac,mac,0.361776,0.638179,1e-05,1.5e-05,1e-05,1e-05,39.10339,-96.59616
QUE002303_mue,mue,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,39.10158,-96.59982
QUE002304_mac,mac,0.561388,0.438572,1e-05,1e-05,1e-05,1e-05,39.10791,-96.60469
QUE002326_mac,mac,0.528146,1e-05,1e-05,0.471814,1e-05,1e-05,43.85323,-83.923
QUE002336_mac,mac,0.782982,0.216978,1e-05,1e-05,1e-05,1e-05,42.30836,-83.75671
QUE002337_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,42.30474,-83.7508
QUE002355_alb,alb,0.010997,0.001215,0.987758,1e-05,1e-05,1e-05,42.76662,-84.39114
QUE002361_bic,bic,0.023508,0.497128,1e-05,0.479334,1e-05,1e-05,42.76526,-84.38254
QUE002367_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,43.01685,-90.11481
QUE002399_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,43.01706,-88.43531
QUE002400_mac,mac,0.991384,1e-05,1e-05,1e-05,1e-05,0.008576,43.01607,-88.43513
QUE002424_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,44.36388,-93.93543
QUE002471_mac,mac,0.548871,0.44533,1e-05,1e-05,0.002567,0.003212,40.73122,-83.09328
QUE002480_mac,mac,0.740863,0.259097,1e-05,1e-05,1e-05,1e-05,41.55069,-84.35969
QUE002481_mue,mue,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,41.55096,-84.35846
QUE002493_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,41.5522,-84.35895
QUE002526_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,42.18327,-87.91426
QUE002528_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,42.18431,-87.91628
QUE002535_alb,alb,0.018586,1e-05,0.981374,1e-05,1e-05,1e-05,41.82519,-87.93085
QUE002579_mac,mac,0.990409,1e-05,0.009548,1.3e-05,1e-05,1e-05,43.81684,-103.25005
QUE002364_mac,mac,0.950164,0.049786,1e-05,1e-05,1e-05,2e-05,43.01643,-90.11418
QUE002369_mac,mac,0.858671,0.134601,1.7e-05,1e-05,1e-05,0.00669,43.02128,-90.11695
QUE002370_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,43.02158,-90.1181
QUE002371_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,43.02073,-90.11771
QUE002373_mac,mac,0.997026,0.002934,1e-05,1e-05,1e-05,1e-05,43.0193,-90.11692
QUE002374_mac,mac,0.956003,0.043957,1e-05,1e-05,1e-05,1e-05,43.01828,-90.11701
QUE002375_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,43.01817,-90.11679
QUE001610_mac,mac,0.880815,0.108306,0.010848,1e-05,1e-05,1e-05,41.81347,-88.06293
QUE001796_mac,mac,0.994371,1e-05,1e-05,0.005589,1e-05,1e-05,42.03033,-93.632
QUE001846_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,37.97414,-92.76266
QUE001871_ste,ste,1e-05,0.065477,1e-05,1e-05,0.934483,1e-05,36.84354,-96.4292
QUE001877_ste,ste,0.439443,1e-05,1e-05,1e-05,0.560517,1e-05,36.84541,-96.41918
QUE001878_mac,mac,0.467108,0.532852,1e-05,1e-05,1e-05,1e-05,36.2107,-95.89476
QUE001882_mac,mac,0.54173,0.393684,1e-05,0.064556,1e-05,1e-05,36.22064,-95.89876
QUE001885_alb,alb,0.462638,0.019324,0.504339,0.01368,1e-05,1e-05,36.21812,-95.90014
