ind_ID,sppcode,mac1_frac,mac2_frac,lat.x,long.x,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elev,moist_index,long.y,lat.y,lat.x.x,long.x.x,lat.y.y,long.y.y,ffd,caco3_r,cec7_r,ec_r,gypsum_r,ph1to1h2o_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,lep_r,om_r,ksat_r,awc_r,pondfreqcl_dc,flodfreqcl_dc,drclassdcd,aws0100wta,total_aws,site,lat,long
QUE001880_mac,mac,1e-05,0.99995,36.2204,-95.89845,15.5249996185303,12.783332824707,33.464225769043,925.474060058594,34.0999984741211,-4.09999990463257,38.1999969482422,20.25,3.73333334922791,26.6833343505859,3.73333334922791,1013,137,40,33.4407691955566,342,147,262,147,185,-39.6305125148987,-95.89845,36.2204,36.2204,-95.89845,36.2204,-95.89845,190,0,16.54,1,0,5.8,30.88,7.89,61.23,1.44,3.24,1.47,2.56,0.19,None,Occasional,Somewhat poorly drained,18.64,36.39,TulsaOK,36.2204,-95.89845
QUE001907_mac,mac,0.99995,1e-05,35.17688,-97.4497,15.9958333969116,12.8083333969116,34.0647163391113,900.354675292969,34.4000015258789,-3.20000004768372,37.6000022888184,20.6666660308838,4.59999990463257,26.8666667938232,4.59999990463257,906,132,33,38.4173049926758,320,119,242,119,342,-48.6685552407932,-97.4497,35.17688,35.17688,-97.4497,35.17688,-97.4497,195,0,7.38,0,0,7.02,12.12,65.72,22.15,1.54,1.5,1.32,42.55,0.14,None,Rare,Well drained,13.02,21.84,NormanOK,35.17688,-97.4497
QUE001937_mac,mac,1e-05,0.99995,43.90292,-91.63996,6.98333311080933,11.1833333969116,25.7680492401123,1155.06262207031,27.7000007629395,-15.6999998092651,43.4000015258789,19.25,-8.14999961853027,20.4500007629395,-8.14999961853027,830,107,22,48.333324432373,319,78,318,78,374,-21.5500945179584,-91.63996,43.90292,43.90292,-91.63996,43.90292,-91.63996,133,0,15.66,0,0,6.54,24.55,39.71,35.74,1.38,2.66,1.05,9.8,0.14,None,None,Well drained,14.24,18.34,WinonaMN,43.90292,-91.63996
QUE001963_mac,mac,0.007112,0.992848,49.76137,-99.1604,2.44166660308838,11.7166662216187,24.1083679199219,1331.26538085938,25.6000003814697,-23,48.5999984741211,15.4166669845581,-12.7166662216187,17.8333339691162,-14.9499998092651,501,88,18,55.9017181396484,227,62,221,64,374,-42.2145328719723,-99.1604,49.76137,49.76137,-99.1604,49.76137,-99.1604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SpruceWoodsMB,49.76137,-99.1604
QUE001971_mac,mac,0.92638,0.061258,49.85783,-97.24911,2.78749990463257,11.3416662216187,22.7744293212891,1391.87927246094,26.6000003814697,-23.2000007629395,49.8000030517578,18.966667175293,-15.4166669845581,18.966667175293,-15.4166669845581,534,92,15,58.9322547912598,249,55,249,55,236,-41.5115005476451,-97.24911,49.85783,49.85783,-97.24911,49.85783,-97.24911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AssiniboineMB,49.85783,-97.24911
QUE001982_mac,mac,0.565205,0.434752,46.0259,-91.14288,4.42083311080933,12.3083333969116,27.53542137146,1150.82275390625,25.6000003814697,-19.1000003814697,44.7000007629395,16.783332824707,-10.6166667938232,17.8166675567627,-10.6166667938232,820,112,21,48.9239196777344,331,82,318,82,433,-11.4470842332613,-91.14288,46.0259,46.0259,-91.14288,46.0259,-91.14288,103,0,6.63,0,0,5.44,6.96,64.64,28.4,1.55,0.53,0.85,11.65,0.13,None,None,Well drained,12.3,20.55,RoundLakeWI,46.0259,-91.14288
QUE002057_mac,mac,0.99995,1e-05,38.963586,-98.58906,12.5916662216187,14.2833337783813,33.4504318237305,1031.81616210938,34.0999984741211,-8.60000038146973,42.6999969482422,22.5833320617676,-0.333333343267441,25.2333335876465,-0.333333343267441,667,99,15,51.9121742248535,271,55,252,55,474,-61.400462962963,-98.58906,38.963586,38.963586,-98.58906,38.963586,-98.58906,158,5,20.57,0.71,0,7.86,25.31,12.43,62.26,1.36,3.44,2.14,6.66,0.22,None,Frequent,Well drained,21.27,42.42,MinookaKS,38.963586,-98.58906
QUE002074_mac,mac,0.242353,0.757607,39.839311,-88.367745,11.2208337783813,11.3249998092651,29.3393783569336,1015.76538085938,30.2000007629395,-8.39999961853027,38.5999984741211,21.2666664123535,-2.01666665077209,23.1333332061768,-2.01666665077209,1011,116,49,24.1338939666748,318,178,311,178,203,-17.2667757774141,-88.367745,39.839311,39.839311,-88.367745,39.839311,-88.367445,157,0,24.96,1,0,6.73,30.75,9.65,59.6,1.37,4.45,1.79,9.17,0.18,Frequent,Frequent,Poorly drained,17.75,28.45,ChickenbristleIL,39.839311,-88.367745
QUE002081_mac,mac,0.007121,0.985096,37.51492,-89.4445,13.7666664123535,11.8333330154419,31.8957767486572,937.245300292969,32,-5.09999990463257,37.0999984741211,13.6999998092651,20.3166675567627,24.8999996185303,1.63333332538605,1172,123,73,17.0490226745605,355,255,289,257,108,-14.2648134601317,-89.4445,37.51492,37.51492,-89.4445,37.51492,-89.4445,174,0,51.7,0,0,4.72,66.45,2.45,31.1,1.4,17,2.1,0.28,0.12,Occasional,Occasional,Poorly drained,12,24.36,ShawneeIL,37.51492,-89.4445
QUE002082_mac,mac,1e-05,0.99995,37.51639,-89.44535,13.7666664123535,11.8333330154419,31.8957767486572,937.245300292969,32,-5.09999990463257,37.0999984741211,13.6999998092651,20.3166675567627,24.8999996185303,1.63333332538605,1172,123,73,17.0490226745605,355,255,289,257,108,-14.2648134601317,-89.44535,37.51639,37.51639,-89.44535,37.51639,-89.44535,174,0,51.7,0,0,4.72,66.45,2.45,31.1,1.4,17,2.1,0.28,0.12,Occasional,Occasional,Poorly drained,12,24.36,ShawneeIL,37.51639,-89.44535
