ind_ID,sppcode,species_frac,admix_frac,lat,long,site,dist_from_rangeedge,sympspp_bin,sympspp_num,hab_suit
QUE001400_ste,ste,0.99995,4.99999999999945e-05,32.3582421,-89.547185,BienvilleMS,110715.273285955,Y,2,0.715435802936554
QUE001403_ste,ste,0.99995,4.99999999999945e-05,32.3582421,-89.547185,BienvilleMS,110715.273285955,Y,2,0.715435802936554
QUE001406_ste,ste,0.999944,5.5999999999945e-05,32.3582421,-89.547185,BienvilleMS,110715.273285955,Y,2,0.715435802936554
QUE001408_ste,ste,0.99995,4.99999999999945e-05,32.3582421,-89.547185,BienvilleMS,110715.273285955,Y,2,0.715435802936554
QUE001409_ste,ste,0.99995,4.99999999999945e-05,32.3582421,-89.547185,BienvilleMS,110715.273285955,Y,2,0.715435802936554
QUE001410_ste,ste,0.99995,4.99999999999945e-05,32.3582421,-89.547185,BienvilleMS,110715.273285955,Y,2,0.715435802936554
QUE001411_ste,ste,0.99995,4.99999999999945e-05,32.3582421,-89.547185,BienvilleMS,110715.273285955,Y,2,0.715435802936554
QUE001412_ste,ste,0.99995,4.99999999999945e-05,32.3582421,-89.547185,BienvilleMS,110715.273285955,Y,2,0.715435802936554
QUE001758_alb,alb,0.99995,4.99999999999945e-05,43.10661,-89.80435,PleasantValleyWI,205473.745313352,Y,3,0.646094620227814
QUE001759_mac,mac,0.99996,4.000000000004e-05,43.10698,-89.80825,PleasantValleyWI,222386.210185167,Y,3,0.782730996608734
QUE001804_mac,mac,0.99996,4.000000000004e-05,42.04211,-93.60619,AmesIA,404175.623033464,Y,3,0.836243808269501
QUE001814_mac,mac,0.99996,4.000000000004e-05,40.7056,-91.79416,BonaparteIA,472341.974244862,Y,4,0.815341055393219
QUE001815_alb,alb,0.99995,4.99999999999945e-05,40.70625,-91.79392,BonaparteIA,274298.841365107,Y,4,0.489334255456924
QUE001819_mue,mue,0.99995,4.99999999999945e-05,40.70481,-91.79589,BonaparteIA,222794.397681556,Y,4,0.625813186168671
QUE001839_ste,ste,0.99995,4.99999999999945e-05,37.97291,-92.76217,HaHaTonkaMO,236954.971237241,Y,4,0.683678090572357
QUE001840_mue,mue,0.99995,4.99999999999945e-05,37.973,-92.76217,HaHaTonkaMO,291289.198070521,Y,4,0.858409762382507
QUE001841_alb,alb,0.826333,0.173667,37.97316,-92.76227,HaHaTonkaMO,142234.882640011,Y,4,0.599768340587616
QUE001862_ste,ste,0.99995,4.99999999999945e-05,36.84914,-96.4152,PawhuskaOK,35807.1977308413,Y,3,0.696989715099335
QUE001863_mac,mac,0.99996,4.000000000004e-05,36.84504,-96.42526,PawhuskaOK,128069.341228007,Y,3,0.664107203483582
QUE001893_mue,mue,0.99995,4.99999999999945e-05,35.44809,-98.35347,HintonOK,22500.8842610348,Y,2,0.544173657894135
QUE001916_mac,mac,0.99996,4.000000000004e-05,34.80384,-92.32634,LittleRockAR,10625.4780056386,Y,3,0.313465893268585
QUE001918_alb,alb,0.99995,4.99999999999945e-05,34.80299,-92.32599,LittleRockAR,124435.817345102,Y,3,0.504594445228577
