Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
OAK-MOR-000418_S298_L007_R2_001										0.18979443728142031	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000428_S301_L007_R1_001										0.374804563375409	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000428_S301_L007_R2_001										0.17384072798677375	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000431_S327_L007_R1_001										0.12612221781469146	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000431_S327_L007_R2_001										0.07259303433719032	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000435_S352_L007_R1_001										2.421807285616482	0.006188041809582867	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000435_S352_L007_R2_001										1.264384040817638	0.007043005953498734	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000444_S299_L007_R1_001										27.987994204011237	0.0535706006053689	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000444_S299_L007_R2_001										21.784824351165945	0.020265676835311736	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000461_S345_L007_R1_001										6.115437086816324	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000461_S345_L007_R2_001										4.019947714433936	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000476_S331_L007_R1_001										5.259173955771533	0.002087862713361738	0.0059301247303728925	0.0	0.0	0.0	0.0
OAK-MOR-000476_S331_L007_R2_001										3.2533234068124792	0.0048244179243429695	0.007980610003043096	0.0	0.0	0.0	0.0
OAK-MOR-000488_S341_L007_R1_001										0.4694579318296412	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000488_S341_L007_R2_001										0.22939452255327206	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000490_S347_L007_R1_001										1.87716999543983	0.011539162747290378	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000490_S347_L007_R2_001										1.002550357113767	0.00906658753665263	0.013055886052779785	0.0	0.0	0.0	0.0
OAK-MOR-000495_S337_L007_R1_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000495_S337_L007_R2_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000498_S353_L007_R1_001										2.0912239494886444	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000498_S353_L007_R2_001										1.118509688504856	0.005935093154323171	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000500_S349_L007_R1_001										7.511925696506753	0.0	0.006095814412129413	0.0	0.0	0.0	0.0
OAK-MOR-000500_S349_L007_R2_001										4.6292403039949	0.002233677160113692	0.00688442782927277	0.0	0.0	0.0	0.0
OAK-MOR-000507_S367_L007_R1_001										26.986616097963452	0.01566212311699366	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000507_S367_L007_R2_001										19.072298637604515	0.016932208140011416	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000511_S297_L007_R1_001										18.606874731029173	0.013990266421034969	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000511_S297_L007_R2_001										16.59448098257835	0.008735562933057247	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000513_S354_L007_R1_001										1.9167803767541407	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000513_S354_L007_R2_001										1.1128059438084676	0.008949478473432337	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000532_S196_L007_R1_001										0.5068706392582556	0.006982154452083455	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000532_S196_L007_R2_001										0.23451552943631357	0.0	0.00861784107213765	0.0	0.0	0.0	0.0
OAK-MOR-000537_S292_L007_R1_001										4.044954338887484	0.006012383609820379	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000537_S292_L007_R2_001										2.477120177760865	0.006666616897925931	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000543_S358_L007_R1_001										0.21592588491383494	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000543_S358_L007_R2_001										0.11544872786445737	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000545_S325_L007_R1_001										2.178598302654848	0.0	0.01695872114130239	0.0	0.0	0.0	0.0
OAK-MOR-000545_S325_L007_R2_001										1.1556798919920037	0.0	0.01824653840390605	0.0	0.0	0.0	0.0
OAK-MOR-000575_S322_L007_R1_001										0.17677040007261238	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000575_S322_L007_R2_001										0.11721903823308914	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000595_S361_L007_R1_001										0.07600446461561523	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000595_S361_L007_R2_001										0.03364590933363596	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000601_S328_L007_R1_001										0.6563989423728784	0.0034188244135519357	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000601_S328_L007_R2_001										0.3553411190643573	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000625_S363_L007_R1_001										0.8204962021191827	0.004658915044096977	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000625_S363_L007_R2_001										0.4054259352377932	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000639_S239_L007_R1_001										8.112378116419729	0.0040743481473199715	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000639_S239_L007_R2_001										5.182051827276353	0.003755616027971395	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000650_S362_L007_R1_001										0.47874415672831094	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000650_S362_L007_R2_001										0.24847858186024763	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000687_S350_L007_R1_001										0.4928218334149134	0.0	0.009660071461381387	0.0	0.0	0.0	0.0
OAK-MOR-000687_S350_L007_R2_001										0.25340600293157306	0.0	0.019343584543346753	0.0	0.0	0.0	0.0
OAK-MOR-000688_S320_L007_R1_001										0.23886639486417052	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000688_S320_L007_R2_001										0.15014474450910725	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000696_S365_L007_R1_001										0.6078588864897451	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000696_S365_L007_R2_001										0.25962909292214936	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000697_S364_L007_R1_001										3.178396520641311	0.0	0.008903792301947867	0.0	0.0	0.0	0.0
OAK-MOR-000697_S364_L007_R2_001										1.7540828927142311	0.002927502902407379	0.010596875956334509	0.0	0.0	0.0	0.0
OAK-MOR-000718_S366_L007_R1_001										0.10706961053594112	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000718_S366_L007_R2_001										0.05962269133852761	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000738_S214_L007_R1_001										0.3214412696142514	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000738_S214_L007_R2_001										0.15616753104530176	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000739_S257_L007_R1_001										0.5231772260229378	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000739_S257_L007_R2_001										0.2763183651206188	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000740_S255_L007_R1_001										1.0337932017654343	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000740_S255_L007_R2_001										0.5576880079000568	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000741_S236_L007_R1_001										5.101413129500579	0.005010305055854509	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000741_S236_L007_R2_001										3.4946035131957163	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000742_S248_L007_R1_001										0.5752672163174508	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000742_S248_L007_R2_001										0.27896603025329036	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000743_S261_L007_R1_001										0.41405420350479616	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000743_S261_L007_R2_001										0.2258759791935286	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000744_S265_L007_R1_001										1.1227215049176467	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000744_S265_L007_R2_001										0.6459219136470248	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000746_S224_L007_R1_001										0.3096650421443733	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000746_S224_L007_R2_001										0.19978376523255778	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000747_S274_L007_R1_001										1.3090114683889087	0.004323540322901273	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000747_S274_L007_R2_001										0.8507519765737708	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000748_S264_L007_R1_001										1.0797653148584925	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000748_S264_L007_R2_001										0.6083600663729292	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000749_S272_L007_R1_001										1.0627335677697607	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000749_S272_L007_R2_001										0.6192835402823287	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000750_S276_L007_R1_001										1.0795798632798135	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000750_S276_L007_R2_001										0.6531293158185425	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000751_S278_L007_R1_001										1.038537621465024	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000751_S278_L007_R2_001										0.67442515034557	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000752_S281_L007_R1_001										0.4242733738353069	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000752_S281_L007_R2_001										0.285156849793927	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000753_S275_L007_R1_001										1.6931204045558559	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000753_S275_L007_R2_001										1.03954902480873	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000754_S249_L007_R1_001										0.7795625535855498	0.004024057487746204	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000754_S249_L007_R2_001										0.4063001003038051	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000755_S258_L007_R1_001										0.30824536463484065	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000755_S258_L007_R2_001										0.16743458688598353	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000756_S256_L007_R1_001										0.35271176637260365	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000756_S256_L007_R2_001										0.22031591405819248	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000757_S270_L007_R1_001										0.9315711744645251	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000757_S270_L007_R2_001										0.48182958810962945	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000758_S288_L007_R1_001										0.01775176721414378	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000758_S288_L007_R2_001										0.02692116986703281	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000759_S263_L007_R1_001										0.1681862351462977	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000759_S263_L007_R2_001										0.10039889126507871	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000760_S284_L007_R1_001										0.3468516879488619	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000760_S284_L007_R2_001										0.17382031880688226	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000761_S271_L007_R1_001										0.9387244782874347	0.004673714275720949	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000761_S271_L007_R2_001										0.6539879770248921	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000762_S247_L007_R1_001										0.2608851449576767	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000762_S247_L007_R2_001										0.1509653471618697	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000764_S243_L007_R1_001										7.604248157868917	0.012123816989499575	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000764_S243_L007_R2_001										4.600332495163591	0.00996655223649288	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000765_S260_L007_R1_001										0.76514200638536	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000765_S260_L007_R2_001										0.38233193331688126	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000766_S230_L007_R1_001										1.0945518712115543	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000766_S230_L007_R2_001										0.6396984765582289	0.003163503388204249	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000767_S211_L007_R1_001										0.3781557308522238	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000767_S211_L007_R2_001										0.16504235053611374	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000768_S235_L007_R1_001										6.382203224975104	0.008207912775338494	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000768_S235_L007_R2_001										3.6172168164125855	0.013916402584400866	0.004443935355029141	0.0	0.0	0.0	0.0
OAK-MOR-000769_S206_L007_R1_001										0.6827361865425765	0.0035764827527679064	0.006855837753585766	0.0	0.0	0.0	0.0
OAK-MOR-000769_S206_L007_R2_001										0.33440202734112107	0.0	0.007775806573469241	0.0	0.0	0.0	0.0
OAK-MOR-000770_S213_L007_R1_001										0.28115055468020106	0.0	0.013507728180042047	0.0	0.0	0.0	0.0
OAK-MOR-000770_S213_L007_R2_001										0.18193143754644275	0.0	0.016345656720777233	0.0	0.0	0.0	0.0
OAK-MOR-000771_S238_L007_R1_001										6.418925041191927	0.007777005919496392	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000771_S238_L007_R2_001										3.8705664467780676	0.007491120950599495	0.008179274634165214	0.0	0.0	0.0	0.0
OAK-MOR-000772_S200_L007_R1_001										0.057722256871846726	0.006142679491074991	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000772_S200_L007_R2_001										0.021239947128019486	0.016884550316667093	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000773_S241_L007_R1_001										8.870033810290105	0.013013425900325584	0.00517198244097712	0.0	0.0	0.0	0.0
OAK-MOR-000773_S241_L007_R2_001										5.5401733567900155	0.004367057267703549	0.01364572432842591	0.0	0.0	0.0	0.0
OAK-MOR-000774_S208_L007_R1_001										0.30332709472295893	0.0	0.013896760176850098	0.0	0.0	0.0	0.0
OAK-MOR-000774_S208_L007_R2_001										0.11621081090945004	0.0	0.024904126613385813	0.0	0.0	0.0	0.0
OAK-MOR-000775_S189_L007_R1_001										0.29519242327380835	0.004495670780296385	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000775_S189_L007_R2_001										0.13220887392977143	0.005841506502359153	0.007204524686242955	0.0	0.0	0.0	0.0
OAK-MOR-000776_S197_L007_R1_001										0.050104673213382196	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000776_S197_L007_R2_001										0.03514390294068665	0.0	0.013572868551567965	0.0	0.0	0.0	0.0
OAK-MOR-000777_S254_L007_R1_001										0.19343726722657645	0.005123368866251485	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000777_S254_L007_R2_001										0.06477370582214281	0.0067811422828335365	0.010218159604269712	0.0	0.0	0.0	0.0
OAK-MOR-000778_S286_L007_R1_001										0.25298170597236286	0.008535324407436195	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000778_S286_L007_R2_001										0.1249428268673585	0.02166444844535579	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000779_S195_L007_R1_001										0.8798713008684643	0.005019000809760774	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000779_S195_L007_R2_001										0.4447118440856294	0.0	0.005962431696223278	0.0	0.0	0.0	0.0
OAK-MOR-000780_S204_L007_R1_001										0.3739972792656979	0.004011993846380831	0.024327219888479794	0.0	0.0	0.0	0.0
OAK-MOR-000780_S204_L007_R2_001										0.16743571062108437	0.0	0.027112141631547095	0.0	0.0	0.0	0.0
OAK-MOR-000781_S218_L007_R1_001										0.27163204704535354	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000781_S218_L007_R2_001										0.09259222858347992	0.005400378166283982	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000782_S223_L007_R1_001										0.506831039336684	0.004445290576229334	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000782_S223_L007_R2_001										0.23948767591252274	0.004735273018285059	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000783_S190_L007_R1_001										0.31512146904061017	0.0058205815996951885	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000783_S190_L007_R2_001										0.12853467416848396	0.007087973513576823	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000784_S198_L007_R1_001										0.3122753768290876	0.005652744976368416	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000784_S198_L007_R2_001										0.12380094926556749	0.011068187199739881	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000785_S233_L007_R1_001										2.9997687848705428	0.0	0.0057970822412839965	0.0	0.0	0.0	0.0
OAK-MOR-000785_S233_L007_R2_001										1.3779135727474312	0.0	0.007323462003878609	0.0	0.0	0.0	0.0
OAK-MOR-000786_S219_L007_R1_001										0.21320571351174622	0.0	0.008047514262839377	0.0	0.0	0.0	0.0
OAK-MOR-000786_S219_L007_R2_001										0.08447549539072036	0.0	0.008757070944498535	0.0	0.0	0.0	0.0
OAK-MOR-000787_S205_L007_R1_001										1.3819614311164263	0.0	0.012865519521204488	0.0	0.0	0.0	0.0
OAK-MOR-000787_S205_L007_R2_001										0.8213937704724459	0.0	0.01386813951339515	0.0	0.0	0.0	0.0
OAK-MOR-000788_S215_L007_R1_001										0.15047314621736585	0.0	0.01591955573801351	0.0	0.0	0.0	0.0
OAK-MOR-000788_S215_L007_R2_001										0.06538962600262595	0.0	0.01749142969792262	0.0	0.0	0.0	0.0
OAK-MOR-000789_S187_L007_R1_001										0.9137880422664661	0.002528563961079777	0.009313900416671421	0.0	0.0	0.0	0.0
OAK-MOR-000789_S187_L007_R2_001										0.41230967623499865	0.0	0.010974065959691198	0.0	0.0	0.0	0.0
OAK-MOR-000790_S207_L007_R1_001										0.3203137635922091	0.0	0.025839715448252407	0.0	0.0	0.0	0.0
OAK-MOR-000790_S207_L007_R2_001										0.1205856146073239	0.0	0.02829797132884783	0.0	0.0	0.0	0.0
OAK-MOR-000791_S188_L007_R1_001										0.37777243650180514	0.0	0.006815778843238712	0.0	0.0	0.0	0.0
OAK-MOR-000791_S188_L007_R2_001										0.16837829215730948	0.0	0.008368219854459373	0.0	0.0	0.0	0.0
OAK-MOR-000792_S266_L007_R1_001										0.24717304465494447	0.0	0.015758433482240933	0.0	0.0	0.0	0.0
OAK-MOR-000792_S266_L007_R2_001										0.10845255725280645	0.005391282273585531	0.02184888079295189	0.0	0.0	0.0	0.0
