id pop
QUE002400_mac Pure_mac
QUE002424_mac Pure_mac
QUE002471_mac Pure_mac
QUE002480_mac Pure_mac
QUE002528_bic Pure_bic
QUE002579_mac Pure_mac
QUE002364_mac Pure_mac
QUE002369_mac Pure_mac
QUE002371_mac Pure_mac
QUE002373_mac Pure_mac
QUE002374_mac Pure_mac
QUE001610_mac Pure_mac
QUE001796_mac Pure_mac
QUE001878_mac Pure_mac
QUE001882_mac Other_mac
QUE001900_mac Pure_mac
QUE001904_mac Pure_mac
QUE001912_mac Pure_mac
QUE001924_mac Pure_mac
QUE001928_mac Pure_mac
QUE001929_mac Pure_mac
QUE001936_mac Pure_mac
QUE001959_mac Pure_mac
QUE001969_mac Pure_mac
QUE001980_mac Pure_mac
QUE001985_mac Pure_mac
QUE002058_mac Pure_mac
QUE002068_mac Pure_mac
QUE002069_mac Pure_mac
QUE002072_mac Pure_mac
QUE002073_mac Pure_mac
QUE002076_mac Pure_mac
QUE002083_mac Pure_mac
QUE002084_mac Pure_mac
QUE002087_mac Pure_mac
QUE002096_mac Pure_mac
QUE002110_mac Pure_mac
QUE002114_mac Pure_mac
QUE002119_mac Pure_mac
QUE002132_mac Other_mac
QUE002134_mac Other_mac
QUE002135_mac Pure_mac
QUE002136_mac Pure_mac
QUE002139_mac Other_mac
QUE002140_mac Other_mac
QUE002141_mac Other_mac
QUE002143_mac Other_mac
QUE002147_mac Other_mac
QUE002148_mac Pure_mac
QUE002150_mac Other_mac
QUE002151_mac Pure_mac
QUE002159_mac Pure_mac
QUE002160_mac Pure_mac
QUE002161_mac Pure_mac
QUE002166_mac Pure_mac
QUE002170_mac Pure_mac
QUE002175_mac Pure_mac
QUE002194_mac Pure_mac
QUE002202_mac Pure_mac
QUE002256_mac Pure_mac
QUE002265_mac Pure_mac
QUE002268_mac Pure_mac
QUE002291_mac Pure_mac
QUE002299_mac Pure_mac
QUE002331_mac Other_mac
QUE002335_mac Other_mac
QUE002338_mac Pure_mac
QUE002341_mac Other_mac
QUE002347_bic Other_bic
QUE002379_mac Pure_mac
QUE002384_mac Pure_mac
QUE002393_mac Pure_mac
QUE002404_mac Pure_mac
QUE002411_mac Pure_mac
QUE002417_mac Pure_mac
QUE002427_mac Pure_mac
QUE002430_mac Pure_mac
QUE002433_mac Pure_mac
QUE002443_mac Pure_mac
QUE002445_mac Pure_mac
QUE002450_mac Pure_mac
QUE002453_mac Pure_mac
QUE002454_mac Pure_mac
QUE002459_mac Pure_mac
QUE002460_mac Pure_mac
QUE002467_mac Pure_mac
QUE002474_mac Pure_mac
QUE002478_mac Pure_mac
QUE002492_mac Pure_mac
QUE002496_mac Pure_mac
QUE002502_mac Pure_mac
QUE002510_mac Pure_mac
QUE002515_mac Pure_mac
QUE002518_mac Pure_mac
QUE002520_mac Pure_mac
QUE002521_mac Pure_mac
QUE002529_bic Pure_bic
QUE002531_bic Pure_bic
QUE002533_mac Pure_mac
QUE002542_mac Pure_mac
QUE002556_bic Pure_bic
QUE002558_mac Pure_mac
QUE002559_mac Pure_mac
QUE002560_mac Pure_mac
QUE002564_mac Pure_mac
QUE002570_mac Pure_mac
QUE001632_mac Pure_mac
QUE001635_mac Pure_mac
QUE001636_mac Pure_mac
QUE001638_mac Pure_mac
QUE001644_mac Pure_mac
QUE001645_mac Pure_mac
QUE001647_mac Pure_mac
QUE001648_mac Pure_mac
QUE001650_mac Other_mac
QUE001651_mac Pure_mac
QUE001656_mac Pure_mac
QUE001658_mac Pure_mac
QUE001661_mac Pure_mac
QUE001664_mac Pure_mac
QUE001667_mac Pure_mac
QUE001668_mac Pure_mac
QUE001676_mac Pure_mac
QUE001677_mac Pure_mac
QUE001678_mac Pure_mac
QUE001679_mac Pure_mac
QUE001684_mac Pure_mac
QUE001686_mac Pure_mac
QUE001687_mac Pure_mac
QUE001690_mac Pure_mac
QUE001691_mac Pure_mac
QUE001697_mac Pure_mac
QUE001700_mac Pure_mac
QUE001705_mac Pure_mac
QUE001706_mac Pure_mac
QUE001713_mac Pure_mac
QUE001716_mac Pure_mac
QUE001719_mac Pure_mac
QUE001721_mac Pure_mac
QUE001723_mac Pure_mac
QUE001724_mac Pure_mac
QUE001652_mac Pure_mac
QUE001655_mac Pure_mac
QUE001670_mac Pure_mac
QUE001673_mac Pure_mac
QUE001680_mac Pure_mac
QUE001682_mac Pure_mac
